No 10-K found for QMAR in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for QMAR in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for CPA in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for CPA in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for CPA in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for FMCN in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for FMCN in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for FMCN in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for SIMO in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for SIMO in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for SIMO in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for COLY in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for COLY in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for COLY in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for NSR in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for HLND in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for CMEDQ in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for CMEDQ in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for CMEDQ in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for SPSN in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for SPSN in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for SPSN in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for GASS in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for GASS in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for GASS in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for AVRX in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for GRVY in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for GRVY in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for GRVY in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for IHS in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for ALLI in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for TGP in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for TGP in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for TGP in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for FVRL in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for FVRL in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for FVRL in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for PORK in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for PORK in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for PORK in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for TRX in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for VCG in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for VCG in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for VCG in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for NCS in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for NCS in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for NCS in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
